name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing,,,
Domobaal,3 John Street,,,Camden,http://www.domobaal.com/#,10091862142,E09000007,Holborn & Covent Garden,E05013662,51.52109586,-0.113122142,531006.2767,181929.0345,,,
Eagle Gallery,159 Farringdon Road,,,Islington,http://www.emmahilleagle.com/#,5300033028,E09000019,Clerkenwell,E05013702,51.52365123,-0.108172319,531342.3127,182222.0575,,,
Catto Gallery,100 Heath Street,,,Camden,http://www.cattogallery.co.uk/#,5010317,E09000007,Hampstead Town,E05013659,51.55799728,-0.17688165,526480.7581,185920.4478,,,
Austin/Desmond Fine Art,Pied Bull YardÂ ,68â„69Â Great Russell Street,,Camden,http://austindesmond.com/#,5083316,E09000007,Bloomsbury,E05013653,51.51828276,-0.122767057,530345.2044,181599.0102,,,
The October Gallery,24 Old Gloucester Street,,,Camden,http://www.octobergallery.co.uk/#,5087208,E09000007,Holborn & Covent Garden,E05013662,51.52018301,-0.120122844,530523.2229,181815.0279,,,
Rebecca Hossack Gallery 1,2a Conway Street,,,Camden,http://www.rebeccahossack.com/#,5087297,E09000007,Bloomsbury,E05013653,51.52153754,-0.137943496,529283.084,181934.0486,,,
Woolff Gallery,89 Charlotte St,,,Camden,http://www.woolffgallery.co.uk/#,5087726,E09000007,Bloomsbury,E05013653,51.51996059,-0.135485033,529458.1048,181763.0321,,,
Lahd Gallery,92 Heath Street,,,Camden,http://www.lahdgallery.com/#,5087751,E09000007,Hampstead Town,E05013659,51.55771011,-0.176921991,526478.7576,185888.4438,,,
The Cob Gallery,205 Royal College Street,,,Camden,http://www.cobgallery.com/#,5087949,E09000007,St Pancras & Somers Town,E05013669,51.54065193,-0.136442133,529333.0767,184062.2405,,,
Hanmi Gallery,30 Maple Street,,,Camden,http://www.hanmigallery.co.uk/#,5088144,E09000007,Bloomsbury,E05013653,51.52169017,-0.137360609,529323.0882,181952.0502,,,
Gagosian Gallery 1,6-24 Brittania Street,,,Camden,http://www.gagosian.com/#,5088316,E09000007,King's Cross,E05013666,51.5295938,-0.116418769,530753.243,182868.1197,,,
Novelty Automation,1A Princeton Street,,,Camden,http://www.novelty-automation.com/#,5105749,E09000007,Holborn & Covent Garden,E05013662,51.51915264,-0.115321587,530859.2615,181709.016,,,
Tristan Hoare,6 Fitzroy Square,,,Camden,http://www.tristanhoare.co.uk/#,5113050,E09000007,Bloomsbury,E05013653,51.52294747,-0.137813889,529288.0833,182091.0631,,,
The Crypt Gallery,St Pancras Church,Euston Road,,Camden,http://cryptgallery.org.uk/#,5188543,E09000007,Bloomsbury,E05013653,51.52656883,-0.128582733,529918.151,182510.0959,,,
Leyden Gallery,9/9a Leyden Street,,,Tower Hamlets,http://www.leydengallery.com/#,6001837,E09000030,Spitalfields & Banglatown,E05009333,51.51638732,-0.074641529,533689.5707,181475.0063,,,
Brick Lane Gallery,216 Brick Lane,,,Tower Hamlets,http://www.thebricklanegallery.com/#,6002804,E09000030,Weavers,E05009335,51.52397045,-0.069808992,534002.5951,182327.1009,,,
Espacio Gallery,159 Bethl Green Road,,,Tower Hamlets,http://www.espaciogallery.com/#,6005162,E09000030,Weavers,E05009335,51.52509833,-0.068939478,534059.5997,182454.1157,,,
Whitechapel Gallery,77-82 Whitechapel High Street,,,Tower Hamlets,http://www.whitechapel.org/#,6011122,E09000030,Whitechapel,E05009336,51.51566133,-0.068776522,534098.614,181405.008,,,
Stolenspace Gallery,"17 Osborn St,",,,Tower Hamlets,https://www.stolenspace.com/#,6015771,E09000030,Whitechapel,E05009336,51.51596334,-0.068547523,534113.6153,181439.0115,,,
Union Gallery,94 Teesdale Street,,,Tower Hamlets,http://www.union-gallery.com/#,6178788,E09000030,St Peter's,E05009331,51.52930433,-0.059732984,534685.8084,182938.751,,,
Cell Project Space,258 Cambridge Heath Road,,,Tower Hamlets,http://www.cellprojects.org/#,6180728,E09000030,St Peter's,E05009331,51.53276995,-0.055015701,535002.747,183332.8431,,,
Raven Row,56 Artillery Lane,,,Tower Hamlets,http://www.ravenrow.org/#,6653355,E09000030,Spitalfields & Banglatown,E05009333,51.51764768,-0.075265891,533642.5645,181614.0194,,,
The Cynthia Corbett Gallery,15 Claremont Lodge,,,Merton,http://www.thecynthiacorbettgallery.com/#,48022286,E09000024,Raynes Park,E05013823,51.41499765,-0.221209569,523794.425,169942.9592,,,
Bank of England Museum,Bartholomew Lane,,,City of London,http://www.bankofengland.co.uk/education/Pages/museum/visiting/default.aspx#,95511162,E09000001,Cornhill,E05009301,51.51372411,-0.086112163,532901.4909,181157.96,,,
Crane Kalman,178 Brompton Road,,,Kensington and Chelsea,http://cranekalman.com/#,217007694,E09000020,Brompton & Hans Town,E05009389,51.49745899,-0.165725579,527422.9054,179207.8036,,,
The Rowley Gallery,115 Kensington Church Street,,,Kensington and Chelsea,http://www.rowleygallery.co.uk/#,217043176,E09000020,Campden,E05009390,51.50626751,-0.193200542,525491.6852,180139.9023,,,
Japanese Gallery,66D Kensington Church St,,,Kensington and Chelsea,http://www.japanese-gallery.com/#,217043283,E09000020,Campden,E05009390,51.50481322,-0.192206067,525564.6946,179979.8865,,,
Museum of Brands,111-117 Lancaster Road,,,Kensington and Chelsea,http://www.museumofbrands.com/#,217050374,E09000020,Notting Dale,E05009399,51.51586215,-0.209527314,524332.5477,181179.0065,,,
The Dot Project,94 Fulham Road,,,Kensington and Chelsea,http://www.thedotproject.com/#,217103153,E09000020,Stanley,E05009405,51.48928315,-0.17374671,526888.8522,178284.7185,,,
Offer Waterman & Co,11 Langton Street,,,Kensington and Chelsea,http://www.waterman.co.uk/#,217103621,E09000020,Chelsea Riverside,E05009391,51.48177813,-0.179246376,526527.8038,177440.6353,,,
Cadogan Contemporary,87 Old Brompton Road,,,Kensington and Chelsea,http://www.cadogancontemporary.com/#,217103741,E09000020,Courtfield,E05009393,51.49200577,-0.175323519,526771.8382,178584.7488,,,
Richard Young Gallery,4 Holland Street,,,Kensington and Chelsea,http://www.richardyounggallery.co.uk/#,217106179,E09000020,Campden,E05009390,51.50280048,-0.190550283,525685.1398,179758.9054,,,
Hackelbury,4 Launceston Place,,,Kensington and Chelsea,http://www.hackelbury.co.uk/#,217106588,E09000020,Queen's Gate,E05009401,51.49852225,-0.183766347,526167.7671,179294.8189,,,
Richard Green 2,33 New Bond Street,,,Westminster,http://www.richard-green.com/#,10033538913,E09000033,West End,E05013808,51.51123753,-0.142044713,529027.6668,180781.4428,,,
The Foundry Gallery,39 Old Church Street,,,Kensington and Chelsea,http://www.thefoundrygallery.org/#,217106994,E09000020,Chelsea Riverside,E05009391,51.48387629,-0.170750556,527111.8723,177688.6579,,,
Saatchi Gallery,Duke of York's HQ,King's Road,,Kensington and Chelsea,http://www.saatchi-gallery.co.uk/#,217110596,E09000020,Royal Hospital,E05009403,51.49009321,-0.157118058,528040.9764,178403.7241,,,
Graffik Gallery,284 Portobello Road,,,Kensington and Chelsea,http://graffikgallery.com/#,217113237,E09000020,Colville,E05009392,51.51884574,-0.205849663,524579.5719,181517.0369,,,
Flying Colours Gallery,6 Burnsall Street,,,Kensington and Chelsea,http://www.flyingcoloursgallery.com/#,217115299,E09000020,Royal Hospital,E05009403,51.48830408,-0.164609267,527525.9213,178191.7068,,,
Sway Gallery,70-72 Old Street,,,Islington,http://www.sway-gallery.com/#,5300069554,E09000019,Bunhill,E05013699,51.52372993,-0.093593237,532353.4236,182257.0611,,,
Islington Arts Factory,2 Parkhurst Rd,,,Islington,http://www.islingtonartsfactory.org/#,5300075947,E09000019,Holloway,E05013706,51.55371125,-0.121265295,530348.1822,185541.3678,,,
James Freeman Gallery,354 Upper Street,,,Islington,http://www.sesameart.com/#,5300095173,E09000019,St Peter's & Canalside,E05013711,51.53409791,-0.102922698,531676.3414,183393.1684,,,
Space Station 65,373 Kennington Road,,,Lambeth,http://spacestationsixtyfive.com/#,10000445110,E09000022,Kennington,E05014105,51.48601134,-0.109183494,531380.337,178034.6659,,,
CGP London,1 Park Approach,Southwark Park,,Southwark,http://cgplondon.org/#,10000811263,E09000028,Rotherhithe,E05011112,51.49363345,-0.052317588,535305.7708,178985.7637,,,
Purdy Hicks,65 Hopton Street,,,Southwark,http://www.purdyhicks.com/#,10000811558,E09000028,Borough & Bankside,E05011095,51.50695993,-0.100432908,531927.3894,180379.8857,,,
Sprout Community Arts,74 Moyser Road,,,Wandsworth,http://www.sproutarts.com/#,10008157629,E09000032,Furzedown,E05014013,51.42351214,-0.145628394,529025.97,171019.989,,,
Flowers Gallery East,82 Kingsland Road,,,Hackney,http://www.flowersgallery.com/#,10008242588,E09000012,Haggerston,E05009375,51.52913735,-0.075559892,533588.5468,182891.1499,,,
Modern Art 1,4-8 Helmet Row,,,Islington,http://www.modernart.net/#,10008977815,E09000019,Bunhill,E05013699,51.52452873,-0.092939916,532396.4274,182347.0708,,,
Cubitt Gallery,8 Angel Mews,,,Islington,http://cubittartists.org.uk/#,10012791474,E09000019,Clerkenwell,E05013702,51.53184051,-0.106261015,531451.3188,183136.1423,,,
Vitrine,15 Bermondsey Square,,,Southwark,http://www.vitrinegallery.co.uk/#,10013529059,E09000028,London Bridge & West Bermondsey,E05011104,51.49687761,-0.079165688,533432.6531,179297.2512,,,
Skarstedt Gallery,8 Bennet Street,,,Westminster,http://www.skarstedt.com/#,10033524577,E09000033,St James's,E05013806,51.50660747,-0.13902792,529250.0958,180271.8929,,,
Ben Brown Fine Arts,12 Brookâ€™s Mews,,,Westminster,http://www.benbrownfinearts.com/#,10033526904,E09000033,West End,E05013808,51.51189141,-0.144433792,528860.0478,180849.9497,,,
Marlborough Fine Art,6 Albemarle Street,,,Westminster,http://www.marlboroughfineart.com/#,10033528809,E09000033,St James's,E05013806,51.50805031,-0.139271776,529229.0921,180431.9081,,,
Messum's,28 Cork Street,,,Westminster,http://www.messums.com/#,10033532792,E09000033,West End,E05013808,51.50996577,-0.139827885,529185.0853,180643.9286,,,
Serpentine Gallery,Kensington Gardens,,,Westminster,http://www.serpentinegallery.org/#,10033534401,E09000033,Knightsbridge & Belgravia,E05013797,51.50427907,-0.173406528,526870.8383,179952.8765,,,
Frith Street Gallery,17-18 Golden Square,,,Westminster,http://www.frithstreetgallery.com/#,10033534803,E09000033,West End,E05013808,51.51068715,-0.135416932,529489.1178,180731.935,,,
Sprovieri,23 Heddon Street,,,Westminster,http://www.sprovieri.com/london/#,10033536350,E09000033,West End,E05013808,51.51061608,-0.138302438,529289.0961,180718.9351,,,
Chelsea Space,Chelsea College of Arts,16 John Islip Street,,Westminster,http://www.chelseaspace.org/#,10033538283,E09000033,Vincent Square,E05013807,51.48992522,-0.126655127,530156.2064,178438.7138,,,
Olivier Malingue,1st Floor,143 New Bond St,,Westminster,http://oliviermalingue.com/#,10033538864,E09000033,West End,E05013808,51.5109879,-0.142467085,528999.064,180752.9397,,,
Richard Green 1,147 New Bond Street,,,Westminster,http://www.richard-green.com/#,10033538867,E09000033,West End,E05013808,51.51080518,-0.142287149,529012.0656,180732.9379,,,
White Cube,25-26 Masonâ€™s Yard,,,Westminster,http://whitecube.com/#,10033550744,E09000033,St James's,E05013806,51.50710128,-0.135577762,529488.1214,180332.898,,,
Willow Gallery,40 - 41 Duke Street,St James's,,Westminster,http://www.willowgallery.com/#,10033555200,E09000033,St James's,E05013806,51.50683819,-0.136402051,529431.6655,180302.1854,,,
Albemarle Gallery,49 Albemarle Street,,,Westminster,http://www.albemarlegallery.com/#,10033567550,E09000033,St James's,E05013806,51.5075163,-0.139625012,529206.0901,180371.9025,,,
Rosenfeld Porcini,37 Rathbone Street,,,Westminster,http://rosenfeldporcini.com/#,10033569652,E09000033,West End,E05013808,51.5180099,-0.134411482,529538.1156,181548.011,,,
Lisson Gallery 1,67 Lisson St,Marylebone,,Westminster,http://www.lissongallery.com/#,10033571495,E09000033,Hyde Park,E05013796,51.52057634,-0.166555495,527300.8685,181777.0456,,,
Imitate Modern,19 Shepherd Market,,,Westminster,http://imitatemodern.com/#,10033585747,E09000033,West End,E05013808,51.50592343,-0.145238341,528821.0495,180184.8879,,,
Mark Gallery,9 Porchester Place,,,Westminster,http://www.markgallery.co.uk/#,10033586949,E09000033,Hyde Park,E05013796,51.51436604,-0.163950904,527498.8962,181090.98,,,
Halcyon Gallery I,144-146 New Bond Street,,,Westminster,http://www.halcyongallery.com/#,10033587866,E09000033,West End,E05013808,51.51088789,-0.142399088,529004.0647,180741.9383,,,
PM/AM,259-269 Old Marylebone Road,,,Westminster,http://www.pmam.org/#,10033588738,E09000033,Marylebone,E05013801,51.51772196,-0.165185374,527403.8825,181462.0159,,,
Graham Hunter Gallery,81 Baker Street,,,Westminster,http://www.grahamhuntergallery.co.uk/#,10033590107,E09000033,Marylebone,E05013801,51.5194382,-0.155342499,528081.9549,181670.0307,,,
Sims Reed Gallery,The Economist Building,30 Bury Street,,Westminster,http://gallery.simsreed.com/#,10033591023,E09000033,St James's,E05013806,51.50638098,-0.137207443,529377.0699,180249.9204,,,
Sadie Coles HQ,62 Kingly Street,Mayfair,,Westminster,http://www.sadiecoles.com/#,10033594510,E09000033,West End,E05013808,51.51179933,-0.137490282,529342.1007,180851.9477,,,
Waddington Custot Galleries,11 Cork Street,,,Westminster,http://www.waddingtoncustot.com/#,10033594958,E09000033,West End,E05013808,51.50960001,-0.140015737,529173.0844,180602.9244,,,
Berrd Jacobson Gallery,6 Cork Street,,,Westminster,http://www.jacobsongallery.com/#,10033601869,E09000033,West End,E05013808,51.51003691,-0.140343849,529149.0813,180650.9297,,,
Michael Werner Gallery,22 Upper Brook Street,,,Westminster,http://www.michaelwerner.com/#,10033602320,E09000033,West End,E05013808,51.51084502,-0.154493399,528164.9725,180715.9415,,,
Hauser & Wirth 2,23 Saville Row,,,Westminster,http://www.hauserwirth.com/#,10033621621,E09000033,West End,E05013808,51.511485,-0.139218286,529223.088,180813.944,,,
Great Western Studios,65 Alfred Street,,,Westminster,http://www.greatwesternstudios.com/#,10033624231,E09000033,Westbourne,E05013809,51.52068971,-0.194734461,525345.6546,181741.0535,,,
David Gill,2-4 King Street,,,Westminster,http://www.davidgillgallery.com/#,10033629513,E09000033,St James's,E05013806,51.50626107,-0.135338243,529507.1244,180239.8891,,,
Thomas Dane Gallery,11 Duke Street,,,Westminster,http://www.thomasdanegallery.com/#,10033630669,E09000033,St James's,E05013806,51.50681063,-0.135964335,529462.1189,180299.8941,,,
Alison Jacques Gallery,16-18 Berners Street,,,Westminster,http://www.alisonjacquesgallery.com/,10033631411,E09000033,West End,E05013808,51.51696659,-0.134973061,529502.1128,181431.0006,,,
Fold,158 New Cavendish Street,,,Camden,http://www.foldgallery.com/#,10033632030,E09000007,Bloomsbury,E05013653,51.52002532,-0.137861027,529293.0866,181766.0334,,,
Annely Juda Fine Art,4th floor,23 Dering Street,,Westminster,http://www.annelyjudafineart.co.uk/#,10033633944,E09000033,West End,E05013808,51.51374527,-0.14394044,528889.0491,181056.9693,,,
Gagosian Gallery 2,17-19 Davies Street,,,Westminster,http://www.gagosian.com/#,10033634159,E09000033,West End,E05013808,51.51054271,-0.146160507,528744.0364,180696.9364,,,
Pangolin London,90 York Way,,,Islington,http://www.pangolinlondon.com/#,10090550427,E09000019,Caledonian,E05013700,51.53448925,-0.119966009,530493.2107,183406.1714,,,
Maestro Arts,One Eastfields Avenue,,,Wandsworth,http://www.maestroarts.com/#,10091499728,E09000032,Thamesfield,E05014022,51.46135157,-0.196558984,525381.6431,175139.4206,,,
Asia House,63 New Cavendish Street,,,Westminster,http://asiahouse.org/#,10091858261,E09000033,West End,E05013808,51.51919745,-0.144641359,528825.0362,181662.026,,,
Coningsby Gallery,30 Tottenham Street,Fitzrovia,,Camden,https://www.coningsbygallery.com/#,10091859525,E09000007,Bloomsbury,E05013653,51.51985559,-0.13453787,529524.1121,181753.0304,,,
Newport Street,3 Newport Street,,,Lambeth,http://www.newportstreetgallery.com/#,10093376049,E09000022,Kennington,E05014105,51.49291799,-0.11539545,530929.2915,178791.5735,,,
Danielle Arnaud,123 Kennington Road,,,Lambeth,http://www.daniellearnaud.com/#,1.00E+11,E09000022,Kennington,E05014105,51.4942894,-0.108869727,531378.3407,178955.7569,,,
Lisson Gallery 2,27 Bell St,Marylebone,,Westminster,http://www.lissongallery.com/#,1.00E+11,E09000033,Church Street,E05013794,51.52039326,-0.168076534,527195.8573,181754.0442,,,
Fiumano Fine Art,27 Conught Street,,,Westminster,http://www.fiumanofineart.com/#,1.00E+11,E09000033,Hyde Park,E05013796,51.51392473,-0.163910995,527502.8971,181041.9751,,,
The Residence,229 Victoria Park Road,,,Hackney,http://www.residence-gallery.com/#,1.00E+11,E09000012,Victoria,E05009386,51.53781866,-0.042557202,535851.7779,183917.3051,,,
Morley College Gallery,61 Westminster Bridge Road,,,Southwark,https://www.morleycollege.ac.uk/facilities/the-gallery#,1.00E+11,E09000028,St George's,E05011114,51.49736611,-0.108367728,531404.3406,179298.7888,,,
Gasworks Gallery,155 Vauxhall Street,,,Lambeth,http://www.gasworks.org.uk/#,1.00E+11,E09000022,Kennington,E05014105,51.48462055,-0.113850591,531060.301,177871.6512,,,
Foss Fine Art,113b Northcote Road,,,Wandsworth,http://fossfineart.com/#,1.00E+11,E09000032,Northcote,E05014016,51.45655973,-0.163651714,527680.865,174663.3393,,,
Northcote Gallery Battersea,110 Northcote Road,,,Wandsworth,http://www.northcotegallery.com/#,1.00E+11,E09000032,Northcote,E05014016,51.45636157,-0.164206711,527642.8608,174640.3375,,,
Kristin Hjellegjerde,533 Old York Road,,,Wandsworth,http://kristinhjellegjerde.com/#,1.00E+11,E09000032,Wandsworth Town,E05014028,51.45930095,-0.187224359,526035.7043,174927.3887,,,
The Osborne Studio Gallery,2 Motcomb Street,,,Westminster,http://www.osg.uk.com/#,1.00E+11,E09000033,Knightsbridge & Belgravia,E05013797,51.49869392,-0.155013173,528162.9849,179363.814,,,
Alan Cristea Gallery,43 Pall Mall,,,Westminster,http://www.alancristea.com/#,1.00E+11,E09000033,St James's,E05013806,51.50557485,-0.134602456,529560.1309,180164.8817,,,
Paisnel Gallery,9 Bury Street,,,Westminster,http://www.paisnelgallery.co.uk/#,1.00E+11,E09000033,St James's,E05013806,51.5062448,-0.136578309,529421.1149,180235.8884,,,
